Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0024820385,0.0027102784,49.134228,4.913423,25.357891,16.441322,-4.0248175,-0.006255882,0.0021399432,-0.002158932,-0.014484002,0.0061316406,0.0016812051,0.014685181,0.0018876791,-4.0491643,0.5398804,-2.1641476,-5.293848,-0.00023500522,0.0022504018,0.005235574,-0.006922253,0.0011089953,0.0021876441,0.005930323,-0.0048957383,0.3671216,0.06851643,1.1601627275760014,-6.560700297419218,-6.051665767660976,2000,14000,0,299.24447660148144,0,6.830667100846767,306.0751437023282,311.4350558295846,0
0.25725716,0.25955442,6.9406586,0.69406587,37.99991,2.0848312,-30.521484,27.209538,3.1151,48.352993,14.408786,30.326939,2.4822357,46.769344,22.61559,-3.7738967,0.80197513,-0.8267213,-6.724844,0.04893717,0.27970007,1.105737,-1.07375,-0.14483309,0.043960903,-0.075125284,-0.33514762,0.47953916,0.13084045,17.105931051262395,-3.1204834074157057,-1.760714330759651,4000,24000,0,302.01742734760046,5.36398359388113,4.71988820284605,312.10129914432764,623.5734293460846,1
1.0803982,0.3487203,21.409023,2.1409023,46.61943,18.440496,-69.19493,65.70505,12.837218,114.46703,22.728844,69.76646,12.44028,111.886955,23.492779,-2.8262014,1.6109822,3.1331868,-8.937962,0.04816657,0.54055023,1.8695729,-1.5821208,-0.21500643,0.08427406,0.03825485,-0.67985463,0.48924965,0.05920134,80.81370132599207,21.478636225592314,46.65286036200179,6000,34000,0,302.749891243875,5.399676486849785,4.736676312983036,312.88624404370785,936.4559432193637,2
1.9100096,0.22652519,26.704304,2.6704304,78.03704,19.844988,-102.037125,96.40842,24.693285,230.69151,37.009563,102.12977,25.26686,240.54979,51.62266,-2.8113263,1.8402317,6.7947927,-8.400074,0.06918775,0.56273144,2.525619,-3.3505034,-0.24273555,0.10877074,0.03742165,-0.84103686,0.30937433,0.0378729,231.2727444752293,44.088603442159624,70.85340612458,8000,44000,0,303.1167204082012,5.3957347348332405,4.721418626606464,313.2338737696409,1249.562891073525,3
0.74019706,0.20333627,19.13793,1.913793,77.26462,20.90099,-126.15156,119.39587,25.318851,209.92035,13.872782,126.08162,23.814253,208.0206,38.04188,-2.4688325,2.015607,6.757726,-7.9436684,-0.01910924,0.61364424,2.7257414,-1.864304,-0.24845056,0.12791537,0.04478938,-0.90013313,0.7716204,0.047072638,524.765005667992,168.60564020035244,247.50169567073698,10000,54000,0,301.9237811937928,5.269004113972187,4.677827902138233,311.87061320990324,1561.3911938741803,4
0.46287757,0.24059606,13.740444,1.3740444,118.47232,38.73839,-143.2675,138.85806,27.90223,218.71562,-14.662732,145.60965,27.824146,213.48503,2.22167,-2.791171,1.6800665,6.012682,-7.688863,-0.0194513,0.5314038,1.9457495,-1.844743,-0.26213524,0.12906015,0.024178341,-0.7604004,1.3399091,0.1695571,298.94179618494786,61.290763754470184,207.61020240981156,12000,64000,0,301.88577029109,5.2298677414655685,4.68383651226759,311.79947454482317,1873.2013816162944,5
2.871985,0.16619733,81.0063,8.100631,246.36234,115.9065,-294.09042,288.51617,131.10432,639.3113,-15.18809,298.76,134.83456,653.6826,-17.529486,0.28310812,4.047231,15.597159,-10.376089,0.0045221807,1.0473115,3.233351,-3.559226,-0.3553206,0.20891045,0.1383891,-1.2270706,1.3108766,0.1171568,324.1490582255935,200.86360056192336,141.24012326737144,14000,74000,0,302.2594893053174,5.237877897918224,4.675918780267239,312.17328598350286,2185.362485833466,6
0.9516119,0.1500612,22.576893,2.2576892,210.54912,73.38497,-213.33987,205.58153,47.36897,315.37677,-6.370427,213.4002,48.244232,309.64557,-0.71695894,-2.1964588,2.0032024,6.4123354,-9.860517,-0.09045011,0.63847303,2.3158312,-2.3654585,-0.30650127,0.16484176,0.031542346,-1.0580546,0.7384578,0.052464943,446.3380624222298,216.42759255919853,93.79584443010472,16000,84000,0,301.94172301888466,5.225925765931606,4.656470149755478,311.82411893457174,2497.2098497375846,7
1.2782395,0.72069156,46.295006,4.629501,172.7432,42.639072,-322.95892,314.4492,129.78587,748.56885,-43.418335,322.7499,130.04411,761.5698,-3.1608965,-0.93917197,2.8752942,9.497605,-8.237781,-0.071462564,0.836632,2.49972,-2.5919423,-0.34400177,0.20617631,0.05708386,-1.260764,0.9184696,0.04753105,343.4209610783703,91.93469725618459,353.8553440258446,18000,94000,0,302.27479706704617,5.249593988060951,4.666601195931435,312.19099225103855,2809.398133635521,8
1.3732344,0.32200375,33.336197,3.3336198,114.267235,69.64591,-267.2333,259.68207,80.40687,435.4811,-55.570824,273.18924,78.01925,444.28253,-8.88345,-0.6449458,2.8289585,11.59639,-7.888895,-0.045211542,0.902246,2.6026764,-2.0744157,-0.32609507,0.19427428,0.2007846,-1.1742706,0.89165527,0.061046142,543.9474959215989,394.31066536383435,94.74593779225532,20000,104000,0,302.4401641562581,5.246865011751652,4.681849010288715,312.3688781782985,3121.7108925953507,9
