Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.0061682793,0.0027082167,49.141888,4.914189,26.329636,16.17442,-3.9939158,0.0032213577,0.0014134202,0.008460629,-0.0018398718,0.007963782,0.0019576664,0.0147062745,0.003935883,-4.012266,0.5353728,-2.2808802,-6.225377,-0.000697951,0.0015076082,0.0041947286,-0.0047051753,0.0007883362,0.0011012306,0.0042061834,-0.0032306113,0.18703334,0.20290105,-0.3652996322858104,-0.8548577044226289,-0.7974310328889972,2000,14000,0,300.946148365736,0,6.986757323145866,307.9329056888819,313.3119593709707,0.40.14950852,0.5843665,1.3426086,0.13426086,24.702183,1.9954126,-29.98363,25.676891,1.9151734,32.908142,19.240139,29.244766,1.364777,36.96627,26.25758,-3.958448,0.6956778,-1.2403357,-6.8348427,-0.023618156,0.21530375,0.80128837,-1.0359256,-0.11555066,0.022997541,-0.042383626,-0.2934224,0.070477836,0.026469609,17.859900765823493,2.176981682368085,-7.095402571359342,4000,24000,0,303.8763905316591,5.381155699491501,4.747268036007881,314.0048142671585,627.360793158412,110.74259174,0.11805959,19.728546,1.9728546,41.905685,6.711904,-56.80947,53.383854,11.103369,87.65118,12.776838,58.16205,10.676025,87.575836,24.28784,-3.3622043,1.2142488,0.21998799,-7.182727,0.01496471,0.41944435,1.3033843,-1.4166311,-0.19238456,0.061498333,-0.050381277,-0.4792065,0.29290363,0.037465833,62.75881968947386,0.06298539775326262,5.606354154628297,6000,34000,0,305.5868489742279,5.426130473613739,4.774422496557236,315.7874019443989,943.124956339590.79870.9548645,0.26147637,16.917095,1.6917095,51.84602,12.15976,-92.73847,90.43605,17.516478,162.7843,25.706137,93.3086,17.40701,165.82497,37.397686,-3.0931492,1.5268382,3.3557465,-8.81016,-0.12638883,0.47030407,1.7487831,-1.6831409,-0.23193258,0.10301999,0.028145617,-0.80208015,0.2015487,0.024668522,322.294743340007,217.4292085300474,50.596387670376906,8000,44000,0,305.5652361214161,5.402314633131027,4.778432130813599,315.7459828853607,1258.8272978365421,3
0.47837338,0.084688865,33.33043,3.3330429,139.15294,26.70447,-122.81447,119.72719,26.796225,198.93556,23.502369,125.75726,26.011814,198.64232,34.465652,-2.2391393,2.0444756,7.54951,-7.004645,0.07593663,0.66803265,2.6016815,-2.0905058,-0.2606472,0.11200885,0.029841159,-0.8024373,0.24075885,0.015661433,-9.697858548679658,-9.72233748960346,-8.575884665289708,10000,54000,0,305.9190022498369,5.358661264181137,4.7628259509801865,316.04048946499825,1574.91930.96027696,00.97839594,0.026046675,47.992115,4.7992115,29.558834,10.372381,-162.58414,159.1643,24.758238,233.80939,79.74934,163.90617,25.200726,237.96678,90.84253,-2.9594429,1.5078313,2.01693,-10.514426,-0.051443502,0.505719,1.6744938,-1.5728827,-0.20859589,0.111309364,0.024446117,-0.78231144,1.0103782,0.012432681,37.958330018380906,22.15885583232589,29.244585528951703,12000,64000,0,306.1712629646063,5.410487592220306,4.7771632224321365,316.3589137792587,1890.54875547,0.1826890.8694267,0.05197542,34.4431,3.44431,54.8593,13.075752,-179.55205,176.03952,18.663204,218.57513,103.386215,179.27353,18.10052,228.72217,109.53504,-3.3259845,1.2936912,1.8622663,-9.653557,-0.040501915,0.40625054,1.7013161,-1.6696515,-0.22558568,0.10656116,-0.008725271,-0.7465824,0.60157907,0.008660313,257.83682539380567,27.019239752403188,6.442414431682437,14000,74000,0,306.10213331878185,5.501521438360214,4.775117143988609,316.378771901130.97852075,0.21302652,42.0.77665424,0.06789802,33.186638,3.3186638,39.652046,9.948813,-184.14006,178.86758,26.813295,247.712,78.79281,183.73563,25.769634,251.14877,78.239235,-2.7922068,1.720818,4.590814,-6.753042,0.0032475118,0.52602994,1.8985608,-1.6561011,-0.27767012,0.1577502,0.03571721,-0.8357668,0.64378995,0.0043564085,220.29215697976474,219.50530948787383,202.27663940360966,16000,84000,0,305.8244440704584,5.395795330405235,4.769939973950386,315.990170.8115838,0.09377355,28.663052,20.8194891,0.020266715,35.165802,3.5165803,85.574974,25.001514,-210.51765,207.22818,36.3918,319.69174,90.750946,208.71219,35.775772,321.29727,97.19057,-2.4186916,1.9812655,7.0677214,-8.907051,0.014181871,0.58392906,2.1343496,-1.760333,-0.28349188,0.18575457,0.0946005,-1.1298044,0.8795945,0.0034621116,368.3676029964861,331.1372382560944,371.81535056348616,18000,94000,0,305.8386293053627,5.346795231103897,4.7593612968921660.9451831,0.21571784,29.226665,2.9226665,11.7886336,0.12265362,44.7431,4.47431,59.904945,28.500872,-277.9691,269.60767,55.909046,447.17725,173.37323,276.997,56.270744,449.8469,176.58269,-1.8599296,2.21228,5.188032,-10.281118,0.017045947,0.70867455,2.0971751,-2.1070526,-0.311698,0.1834498,0.06993264,-1.1239367,0.97563636,0.0070006326,437.86543745313,379.9001879695149,480.52899938613683,20000,104000,0,305.165818631649,5.340014606714249,4.749747633934021,315.0.9353756,0.19935337,22.793465,2.2791.8003972,0.22016184,41.46073,4.1460733,74.92583,52.537857,-316.48175,311.31738,67.65325,476.50443,163.66953,317.4911,67.51978,479.93005,159.06842,-1.3522451,2.4555197,7.4323306,-8.479362,0.02163429,0.7756972,2.474614,-2.1303794,-0.35323802,0.2105273,0.12622446,-1.3906937,0.80846226,0.0065361066,496.9282519303373,498.62571621314885,386.093602685801,22000,114000,0,305.0983119159937,5.340055093169212,4.7510214895009995,315.181.2773341,0.28254533,50.0717,5.00710.7949919,0.067285575,41.842075,4.1842074,92.482285,37.209743,-354.7549,349.55978,94.342384,647.4218,161.32318,357.31882,95.24971,645.8922,168.56032,-1.4368298,2.4895895,6.4177146,-8.420387,0.007237526,0.7675573,2.3744628,-2.18374,-0.3538289,0.19927175,0.13416147,-1.1761367,1.4216992,0.0030952296,562.3638817451944,439.7081145062655,554.0702980670428,24000,124000,0,304.9101338684559,5.347007170319557,4.751715421676636,31.0027996,0.07535462,31.591158,3.1591151.8160017,0.17142019,45.662365,4.5662365,83.43693,38.968395,-413.2976,405.48608,103.22322,669.0112,151.07518,412.6147,102.65416,675.6855,151.58354,-0.7048172,2.7089295,9.356294,-8.932481,-0.047826033,0.8766781,2.4173162,-2.5726562,-0.4068831,0.22804947,0.10397587,-1.4513857,1.1862042,0.0028593016,629.9475544117399,611.4440984626467,620.5346181201046,26000,134000,0,304.1602692902088,5.268782392144203,4.6908002793788910.6660665,0.15825975,28.161194,2.8161190.9514381,0.01640528,49.22028,4.922028,87.43371,54.70485,-440.8989,434.9204,118.79347,742.99725,138.61444,436.34802,116.7936,744.84607,124.850655,-0.79172397,2.60811,7.112113,-8.206198,0.008792861,0.83642024,2.5573406,-2.1247902,-0.41376367,0.22824234,0.10924357,-1.4336352,1.180615,0.0048766998,681.6193354907075,645.8064033300333,615.0938271408727,28000,144000,0,304.3248312473297,5.238864600658417,4.700861573219299,1.2496635,0.21766253,59.186985,5.918699,0.973049,0.018199788,53.76779,5.376779,111.396515,51.79562,-535.02686,524.4893,149.88257,899.8514,179.99583,532.2937,147.91983,907.60565,188.31006,-0.11840935,2.7434435,7.7999372,-8.050128,-0.020207504,0.9242993,2.8331447,-2.2031121,-0.43314424,0.2267491,0.08187772,-1.7126524,1.5723232,0.0044283485,653.7096664749931,107.58877614357988,681.7295723722359,30000,154000,0,304.4320297986269,5.234584748744965,4.68187026671.0037534,0.16283453,34.94817,3.494817,263.881.3639851,0.014375476,69.926704,6.9926705,163.1867,69.44806,-622.6448,618.2785,179.50703,1075.4044,128.47795,626.7169,177.7311,1067.1947,93.55522,0.3406012,2.930095,9.334042,-6.912142,-0.08392338,0.99351597,2.8435297,-2.5148525,-0.44534385,0.23127516,0.13833639,-1.6579822,1.355681,0.004494497,714.0476930567731,645.9537343469337,645.3287997568201,32000,164000,0,304.3679776340723,5.235762715339661,4.71205441653721.1001729,0.08136201,40.02174,4.002174,273.1.7083124,0.053162836,54.312256,5.431226,198.7346,118.92147,-590.62585,583.7927,173.74669,906.4523,75.066345,584.66205,168.81563,876.9945,52.381508,-0.26641887,2.744713,10.387262,-8.276394,-0.09482014,0.91116035,2.5285478,-2.3965666,-0.45427886,0.22053786,0.25136006,-1.6336443,1.5000515,0.0038033593,740.2388038011788,720.3230078477457,720.2230322501514,34000,174000,0,304.4610071629286,5.202863797545433,4.6787200711.304259,0.059329856,57.076393,5.707639,204.8902.3036675,0.09454062,70.98981,7.098981,185.061,57.27653,-731.4633,723.2484,221.8045,1168.3606,74.16223,731.9679,219.88023,1166.3363,59.238842,0.83268857,3.0608451,10.329554,-8.400003,-0.05068202,1.0463823,2.6123798,-2.6230323,-0.4579977,0.21436003,0.21707872,-1.5329896,1.2454914,0.006422007,721.9884422256789,545.0474365655632,682.0005517157001,36000,184000,0,305.13285203278065,5.210156604647636,4.68641891.1580099,0.16910937,40.74259,4.0742593,226.2182,111.1645988,0.017527152,62.345634,6.2345634,127.186966,50.699604,-755.2494,744.36804,201.88145,1177.0017,45.111305,753.67426,198.20148,1178.1573,89.11391,0.4768361,2.95151,10.136496,-8.188705,0.018680103,0.9743733,2.6942787,-3.3074775,-0.48797217,0.24985218,0.11890419,-1.7229568,1.4705827,0.0029801102,840.2990199354517,752.7239778673888,764.8362320376764,38000,194000,0,305.139656662941,5.215881183743477,41.2713592,0.1861057,52.44312,5.244312,253.0954,119.31012.1588488,0.07352151,64.04494,6.404494,153.99646,149.6398,-781.18536,770.36145,212.65807,1205.8225,193.8426,772.4811,210.28593,1186.07,186.76248,0.27801487,3.1022317,9.431952,-8.943958,0.04488008,0.96975935,2.8445718,-3.0416746,-0.48735857,0.2638671,0.051675953,-1.8272021,1.4965016,0.0028579698,845.8726937165948,804.8377411481051,760.4352448339043,40000,204000,0,304.92751421034336,5.208230152726173,4.68161.1577407,0.14722882,58.288696,5.82887,248.5899,82.01.8860191,0.059605896,55.061573,5.5061574,149.91708,89.47666,-811.8564,805.72986,217.39337,1234.3947,170.44945,816.9073,214.77577,1221.3766,206.80931,-0.11899221,2.8835044,10.422353,-8.424987,-0.036521338,0.935417,2.6071885,-2.813075,-0.48867688,0.25041625,0.08228329,-1.7530434,1.6776457,0.002690766,804.0550659948096,807.1286389457784,622.0026112384295,42000,214000,0,305.3669135570526,5.212461784482000.9955289,0.059046112,47.487038,4.748704,215.5834,71.72711.6331546,0.0110819265,71.849174,7.1849174,157.41191,58.601707,-937.6886,927.551,247.6434,1316.6049,243.72098,936.824,245.21361,1300.3325,248.12653,0.6290326,3.1635957,10.712973,-8.193918,0.017397879,1.0139501,3.2808464,-2.6079922,-0.4743596,0.2613522,0.12290158,-1.7261566,1.6524208,0.0023007714,722.8336635603894,457.04385818840683,792.4658017074621,44000,224000,0,305.9425979554653,5.19905890524381.2276555,0.13451126,41.364433,4.1364436,407.16705,155.19388,2.8274763,0.09789259,89.810326,8.981032,272.0512,95.75777,-1054.4705,1041.668,291.40634,1651.7588,133.43028,1056.6274,287.96423,1648.2206,162.85574,1.5650833,3.3041131,11.941857,-9.550003,-0.021811536,1.1109127,3.2175715,-2.8473587,-0.5033923,0.22154653,0.08304447,-1.8097823,1.3287804,0.0036737886,934.0046106581065,844.7087202701229,794.7847109458983,46000,234000,0,306.7723783403635,5.1887828558681.268211,0.14106148,51.754036,5.1754036,300.95715,112.51262,-1271.5873978,0.008583339,70.77301,7.077301,203.87062,77.86639,-987.19196,974.08276,270.5279,1468.7144,149.27399,988.4207,265.411,1460.8601,155.50821,0.8229164,3.1127846,10.938639,-9.58777,-0.04407205,1.0405134,2.8649278,-3.5403917,-0.49286366,0.22185242,0.076662816,-1.7497163,1.7264541,0.0022287038,870.9294531542657,835.5853131856304,868.7570154739556,48000,244000,0,307.8333073556423,5.2082767630.81048423,0.06992412,37.858067,3.7858067,321.89288,127.90864,-8642.049277,0.04845054,72.58192,7.2581916,167.0315,52.11788,-1042.4558,1029.7914,297.56967,1507.2795,172.87749,1043.265,292.82922,1507.6187,186.83687,1.0086616,3.1677215,10.50665,-7.482527,-0.062132865,1.0532905,2.8440702,-2.8748128,-0.4896612,0.22995578,0.17274302,-1.9118812,1.7874267,0.0034127063,895.8564174506216,857.8623018404596,849.0421664536999,50000,254000,0,309.2263455539942,5.2259670346975331.5747802,0.15654464,83.681984,8.368198,399.41833,177.655912.2768552,0.06019937,77.18652,7.7186522,164.55914,73.431175,-1067.4077,1053.739,307.59238,1558.7682,229.35245,1066.1444,300.95834,1549.063,241.28026,1.2942667,3.2152805,13.987958,-8.459865,-0.08171809,1.08625,2.6512752,-2.9228132,-0.4997798,0.20848805,0.21111774,-1.6852906,1.8815536,0.0023257243,808.1891627954851,776.7677489169494,871.3628349963999,52000,264000,0,310.4310609847307,5.2130502015351.3749392,0.13860017,52.761734,5.2761736,220.42224,63.21096,-1341.7180296,0.017818421,69.27372,6.927372,261.3197,299.1993,-1120.1079,1108.252,282.54932,1533.4315,239.81291,1132.0059,281.92184,1543.1526,242.36884,0.6134625,3.1634378,11.585665,-10.155598,-0.011001726,1.0078678,3.2772493,-2.657546,-0.4946524,0.26127264,0.112254314,-1.9105505,1.6601343,0.0031272036,883.2561962442336,867.5460323225764,544.5580312587158,54000,274000,0,311.46237048506737,5.2025956958531.1466708,0.077957585,40.579338,4.057934,549.21106,583.8096,-102.509562,0.045787007,85.45093,8.545093,200.75235,70.690056,-1193.0106,1180.8809,331.52002,1775.9554,333.274,1195.8502,327.02298,1769.1339,323.56485,1.1566229,3.2318528,11.356245,-8.504685,-0.0970408,1.0838056,2.9784074,-2.7949762,-0.50741655,0.20956199,0.029951751,-1.9863585,2.1051917,0.0036208245,806.4126304226181,585.2594689538873,887.5585570602248,56000,284000,0,312.0913911163807,5.1962778411.2656156,0.1148072,70.58156,7.058156,397.30078,206.33186,-1294.1.7996763,0.008642649,79.214386,7.9214387,150.51889,57.0987,-1220.3656,1211.329,299.45496,1621.3344,182.1898,1221.7761,295.3104,1631.9487,201.28609,0.70898676,3.3358881,11.541087,-9.076142,0.0013056056,1.0196865,3.7068117,-2.8371177,-0.48462293,0.26810893,0.0898474,-1.9160969,1.8627875,0.003534827,913.636913210124,656.0556271998756,395.43486505246887,58000,294000,0,312.6995434463024,5.2125231.4484854,0.12493962,51.43845,5.143845,279.5196,128.007,-1067.4666,12.7210226,0.07884115,89.3946,8.93946,218.72977,74.90639,-1292.507,1285.4729,336.0311,1872.8196,251.20816,1292.8718,333.4389,1864.7344,249.68361,1.086853,3.3844702,11.462841,-6.8562713,-0.046057474,1.0791893,2.9746618,-3.0991907,-0.4884757,0.24143554,0.1324445,-1.9425831,1.9889729,0.0033805328,920.4364504219484,865.400896536076,890.0854187619368,60000,304000,0,313.4809715151787,5.2775171.4382775,0.0493465,59.955982,5.9955983,246.99158,127.82537,-1489.6261.638884,0.010735682,70.98381,7.098381,205.77429,75.5543,-1205.0057,1193.9534,280.13812,1659.6449,188.91945,1204.4961,275.78864,1659.357,228.2956,0.6372267,3.2260642,11.151585,-8.751791,-0.0156079745,1.0179724,3.3940911,-3.2907481,-0.49866107,0.25772482,0.02858302,-1.8968213,1.1383922,0.027489249,934.579052737429,893.3351672480901,285.3818831327194,62000,314000,0,314.69524316489697,5.219991.1536943,0.09926893,49.605846,4.9605846,241.79245,90.16469,-1408.401.6903423,0.0072352337,73.98304,7.398304,175.28592,112.44681,-1235.4197,1228.0342,301.01224,1764.9917,218.54402,1240.0306,297.31335,1761.9183,221.42174,0.6346556,3.2557251,10.457114,-7.606187,-0.026504366,1.0149769,2.788905,-3.6617274,-0.49534726,0.27310348,0.1345673,-2.0357528,2.1442823,0.0035521965,806.5586895933322,820.3927950724775,899.0355398533748,64000,324000,0,317.59732696413994,5.232071.1492993,0.096522816,66.03817,6.603817,251.88002,167.14514,-1348.67432.3256688,0.093694314,74.27629,7.427629,456.82193,145.92944,-1351.0846,1325.8605,367.18655,1930.5935,309.24667,1343.1047,365.10773,1934.3647,324.45825,1.291034,3.1201732,16.502539,-9.345952,-0.041448694,1.084225,2.9099727,-3.6467042,-0.5146794,0.2063784,0.12667592,-1.9709835,2.1141207,0.0021591764,841.2078201909092,631.1362720909233,507.2252167931113,66000,334000,0,323.4501840621233,5.198467150331.3469365,0.05428437,63.95391,6.395391,211.93521,140.28557,-1218.2.1399555,0.034991167,75.06299,7.506299,211.34534,136.20961,-1298.6294,1285.0315,342.7567,1848.5798,211.6495,1305.3682,340.16626,1871.4226,202.80649,0.9487391,3.3579144,13.465929,-9.206957,-0.10967984,1.0608761,2.8635635,-3.997534,-0.5078463,0.22562495,0.07848635,-2.1296773,1.8363504,0.0027799536,1049.5003847545868,1038.1131751354262,989.688303244978,68000,344000,0,330.1478601396084,5.215074061.3458424,0.058138948,63.24505,6.324505,268.06644,114.87624,-1202.001.7600195,0.005844963,79.57356,7.9573565,231.61467,80.42583,-1335.968,1325.4795,324.1194,1872.2439,222.9455,1333.8219,317.9765,1848.6323,230.32327,1.0615296,3.3790596,15.004371,-7.132844,-0.08695161,1.049931,3.2293868,-3.35376,-0.50941974,0.26783898,0.10839605,-2.1122801,1.551162,0.002958724,883.1586331042873,628.9206890795836,705.816641690919,70000,354000,0,336.24553863704205,5.220231264829636,1.4678495,0.10768354,63.586224,6.3586226,335.5728,110.829091.7103678,0.009900557,74.56423,7.4564233,166.49213,82.15754,-1362.3121,1351.277,326.68442,1903.8383,236.29848,1364.7458,321.59528,1907.7913,241.08704,0.95543826,3.2540805,16.598303,-11.165072,-0.06774376,1.0389706,3.5937762,-3.581584,-0.5225935,0.24554685,0.0664544,-2.02451,2.1787305,0.0034338036,1038.165228887945,1015.0396581968208,995.339463883478,72000,364000,0,342.1451458930969,5.247650519013405,4.661.3764733,0.06000159,54.767437,5.4767437,245.91104,95.741.9149411,0.006761676,82.749344,8.274935,158.26025,69.97237,-1390.2854,1382.542,343.9421,1893.3268,219.52585,1389.8022,339.84927,1891.2183,223.10239,0.91087914,3.4094088,13.248344,-8.086019,-0.0700483,1.0213423,2.7116432,-3.0806203,-0.50945526,0.269607,0.09630185,-2.1017952,2.0997682,0.0035488545,899.3849240996665,907.5275408498946,958.5843421284111,74000,374000,0,345.4936712682247,5.196793660521507,41.598017,0.117069066,79.700066,7.9700065,309.939,113.70341,2.253597,0.036991075,81.27049,8.127049,334.4729,115.29613,-1441.2704,1432.656,372.89746,2029.2529,227.11876,1435.4143,367.585,2010.7659,221.1532,1.1712079,3.2597923,11.316013,-8.608757,-0.06622475,1.0460423,2.6877658,-2.8487184,-0.53167415,0.23791346,0.09717226,-2.0499322,1.9168516,0.002205706,1043.0466610378194,1047.3928242735979,975.5970140960599,76000,384000,0,346.8362370580435,5.198916003108025,40.68024,0.0741952,36.787685,3.6787686,1324.5323,632.7761,-1.614358,0.0085026035,68.08534,6.808534,219.74846,240.59937,-1319.7626,1308.5544,330.35568,1868.2893,190.92247,1310.7927,323.5421,1865.4111,190.21971,0.5626247,3.2414806,10.995697,-8.858366,-0.08802954,0.98340726,3.316041,-3.4748847,-0.51308364,0.24505599,0.0017551817,-2.1082332,2.2630396,0.0020664406,1018.2504163135768,986.0693545214104,955.0373400828096,78000,394000,0,347.74282360076904,5.24498976767061.4171427,0.06459437,67.25784,6.7257843,305.61362,86.054794,-1239.9979,1227.1204,328.76852,1773.8546,249.81464,1243.6016,324.30502,1784.3318,263.02094,1.3175251,3.1500342,11.00874,-8.0655,-0.13145386,1.0762948,2.7096486,-3.5442219,-0.5197424,0.26959485,0.10455027,-2.129848,1.8889949,0.042703785,968.9252894612471,1035.9902211565936,772.5993906951121,80000,404000,0,360.007257565856,4.361542716622353,4.111467406153679,368.480267688632,12952.976362124085,39
1.8427668,0.065434545,75.78654,7.578654,307.77924,122.46432,-1559.384,1541.1388,344.71597,2115.363,278.82376,1558.8875,338.56027,2128.8545,275.6523,1.8424107,3.3393493,11.56085,-7.4459014,-0.12608044,1.1402699,2.8467216,-3.4469895,-0.5491989,0.25269613,0.15853943,-2.1416914,1.605596,0.047716446,1024.3971269701742,804.6187756522029,791.3325544018098,82000,414000,0,360.8704871982336,4.416859656572342,4.030648395419121,369.31799525022507,13322.217875629663,40
1.2855151,0.09883796,54.50354,5.450354,362.41193,306.1976,-1465.0747,1448.8807,434.7395,2222.7534,279.40366,1464.5208,429.6771,2221.5464,278.60654,1.4046073,3.2272575,12.426701,-8.9277115,-0.07307148,1.0931811,2.9129097,-2.970565,-0.5546296,0.24332602,0.055558823,-1.952967,1.9897821,0.054644782,1070.0069288582174,918.1990698598595,785.878658758716,84000,424000,0,361.882458537817,4.34077000617981,4.001842767000198,370.225071310997,13692.437307178974,41
0.8720778,0.069213666,47.65638,4.765638,382.08313,163.8601,-1519.1381,1508.779,319.02368,2105.891,327.45413,1521.6166,308.301,2097.1423,359.12476,1.7300675,3.2341995,12.589362,-8.472337,-0.12313825,1.1187425,3.173347,-3.035612,-0.55805165,0.22584409,0.2565008,-2.2373357,1.6282456,0.025543517,1027.8393450412977,1027.6684159320512,763.8278273055257,86000,434000,0,362.0822105258703,4.335569679737091,4.006606459617615,370.42438666522503,14062.921172142029,42
1.5017575,0.07542585,72.2069,7.2206903,389.92358,227.01013,-1506.5078,1496.2124,444.6323,2417.8945,138.21025,1507.7397,438.11826,2386.833,137.02193,1.7133179,3.1558514,13.768593,-7.273819,-0.117575616,1.135162,2.8917434,-2.7543356,-0.530384,0.25727034,0.2520635,-2.1026614,0.28033656,0.019780776,1038.6105705386062,1066.3387391715733,972.2200491808267,88000,444000,0,362.8589225113392,4.395732253789902,4.010240316390991,371.2648950815201,14434.128963559866,43
1.0901936,0.07895301,56.886555,5.6886554,542.8042,128.07042,-1483.4634,1473.997,391.58072,2164.791,205.86525,1481.8604,378.81482,2152.2603,199.65869,1.6786613,3.0997484,11.884779,-7.675861,-0.119828194,1.1285973,3.1042285,-2.9841528,-0.5541726,0.24527921,0.09961341,-2.0593638,1.8437004,0.031673294,986.7450289363545,505.14769905292815,1053.576906504646,90000,454000,0,364.00350515544415,4.338809713721275,4.002071782946587,372.344386652112,14806.542157039046,44
1.1573323,0.08522087,48.768005,4.8768005,203.59096,88.76045,-1743.741,1734.7024,313.66074,2209.6995,393.16125,1745.779,305.09543,2201.3552,433.21326,2.3460004,3.4740276,12.628326,-7.359135,-0.035668787,1.1929976,2.8719182,-2.7294912,-0.5665048,0.22005263,0.031187192,-1.8755298,1.6456215,0.044204604,1135.0513068519435,1116.6730755554186,1068.3940056843394,92000,464000,0,364.4083179086447,4.408337101340294,4.084323734045029,372.90097874403,15179.344521269202,45
1.1526967,0.05803118,48.114613,4.8114614,488.21222,170.40744,-1205.4332,1193.7087,358.78912,1798.1344,114.58622,1205.1001,346.33682,1832.6743,122.84268,0.7922661,2.8623068,9.416119,-8.084353,-0.13976192,1.0009499,2.5502772,-2.3309307,-0.5540858,0.25829682,0.08799845,-1.9886254,2.2164001,0.046719022,1025.8906697953046,1040.9371464901815,1067.833101176278,94000,474000,0,364.9790968298912,4.310054197907448,4.078059673309326,373.367210701108,15552.819986313581,46
1.5578264,0.10694015,76.47762,7.6477623,407.58612,244.96434,-2017.83,2015.784,350.69974,2583.8032,500.78485,2012.6752,343.44565,2564.0579,478.9593,3.1454039,3.6642275,15.582579,-6.832943,0.029194474,1.2945658,3.6660295,-3.0356421,-0.56074506,0.22667006,0.20044163,-1.8560891,2.132923,0.03920105,1017.2392198879836,1017.4531917811918,517.9549174709963,96000,484000,0,365.4467058032751,4.420547142624855,4.059031307697296,373.92628425359726,15929.172445684671,47
